DisputeID,StDay,StMon,StYear,EndDay,EndMon,EndYear,stDate,endDate,durationDays,MaxHost,Total Fatality,MaxHostLev,MaxFatalityLev,United Kingdom,United States of America,China,Soviet Union
1229,14,4,1964,1,10,1966,14-4-1964,1/10/1966,901,Use of Force,-1,4,2,0,0,0,0
1230,22,6,1967,20,7,1967,22-6-1967,20-7-1967,29,Use of Force,0,4,0,0,0,0,0
1231,29,5,1975,20,2,1976,29-5-1975,20-2-1976,265,Use of Force,-1,4,1,0,0,0,0
1232,2,8,1976,30,6,1987,2/8/1976,30-6-1987,3983,Use of Force,-1,4,4,0,0,0,0
1233,28,8,1921,13,10,1921,28-8-1921,13-10-1921,46,Use of Force,-1,4,-1,0,0,0,0
1234,25,6,1921,25,11,1921,25-6-1921,25-11-1921,153,Threat to Use Force,0,2,0,0,0,0,2
1235,6,8,1921,18,10,1921,6/8/1921,18-10-1921,73,Use of Force,-1,4,-1,0,0,0,0
1238,26,9,1947,1,1,1949,26-9-1947,1/1/1949,464,War,-1,5,6,0,0,0,0
1240,18,6,1923,5,11,1923,18-6-1923,5/11/1923,140,Display of Force,0,3,0,0,0,0,0
1241,21,10,1925,29,10,1925,21-10-1925,29-10-1925,8,Use of Force,-1,4,-1,0,0,0,0
1243,10,3,1938,20,3,1938,10/3/1938,20-3-1938,10,Use of Force,-1,4,1,0,0,0,0
1244,24,4,1938,2,10,1938,24-4-1938,2/10/1938,162,Use of Force,0,4,0,0,0,0,0
1245,24,9,1938,30,9,1938,24-9-1938,30-9-1938,6,Display of Force,0,3,0,0,0,0,0
1246,13,10,1938,2,11,1938,13-10-1938,2/11/1938,19,Use of Force,-1,4,-1,0,0,0,0
1247,15,3,1939,23,3,1939,15-3-1939,23-3-1939,8,Display of Force,0,3,0,0,0,0,0
1249,-9,8,1909,-9,8,1909,1/8/1909,1/8/1909,0,Display of Force,0,3,0,0,0,0,0
1250,30,9,1912,19,4,1913,30-9-1912,19-4-1913,201,War,-1,5,6,0,0,0,0
1251,18,4,1913,29,8,1913,18-4-1913,29-8-1913,134,War,-1,5,6,0,0,0,0
1255,12,6,1915,-9,2,1916,12/6/1915,1/2/1916,233,Use of Force,-1,4,2,0,0,0,0
1257,2,1,1918,9,3,1918,2/1/1918,9/3/1918,66,Use of Force,-1,4,-1,0,0,0,1
1262,15,9,1918,5,11,1918,15-9-1918,5/11/1918,51,Use of Force,0,4,0,0,0,0,0
1263,-9,11,1918,-9,11,1918,1/11/1918,1/11/1918,0,Use of Force,-1,4,1,0,0,0,0
1265,20,3,1919,4,8,1919,20-3-1919,4/8/1919,137,War,0,5,6,2,0,0,0
1268,23,1,1919,1,2,1919,23-1-1919,1/2/1919,6,Use of Force,-1,4,-1,0,0,0,0
1269,18,6,1919,15,12,1919,18-6-1919,15-12-1919,181,Use of Force,0,4,0,1,0,0,0
1270,4,5,1919,11,10,1922,4/5/1919,11/10/1922,1256,War,-1,5,6,0,0,0,0
1272,15,7,1920,1,12,1920,15-7-1920,1/12/1920,139,War,-1,5,5,0,0,0,0
1273,15,3,1921,20,10,1921,15-3-1921,20-10-1921,219,Use of Force,-1,4,-1,0,0,0,0
1274,5,10,1908,19,4,1909,5/10/1908,19-4-1909,195,Use of Force,0,4,0,0,0,0,0
1278,-9,1,1958,-9,1,1958,1/1/1958,1/1/1958,0,Threat to Use Force,0,2,0,0,0,0,0
1279,25,12,1963,10,8,1964,25-12-1963,10/8/1964,229,Use of Force,-1,4,1,0,0,0,0
1280,16,11,1967,1,12,1967,16-11-1967,1/12/1967,16,Display of Force,0,3,0,0,0,0,0
1284,1,8,1948,13,8,1948,1/8/1948,13-8-1948,12,Use of Force,-1,4,1,0,0,0,0
1285,8,8,1949,13,8,1949,8/8/1949,13-8-1949,5,Use of Force,-1,4,2,0,0,0,0
1286,16,4,1951,24,11,1951,16-4-1951,24-11-1951,222,Use of Force,0,4,2,0,1,0,2
1289,3,6,1976,1,9,1976,3/6/1976,1/9/1976,90,Display of Force,0,3,0,0,0,0,0
1290,8,1,1975,8,1,1975,8/1/1975,8/1/1975,0,Threat to Use Force,0,2,0,0,0,0,0
1292,29,3,1974,29,5,1974,29-3-1974,29-5-1974,61,Display of Force,0,3,0,0,0,0,0
1293,20,7,1974,16,8,1974,20-7-1974,16-8-1974,27,War,0,5,6,0,0,0,0
1295,26,7,1952,13,8,1952,26-7-1952,13-8-1952,18,Use of Force,-1,4,1,0,0,0,0
1300,7,5,1955,12,7,1955,7/5/1955,12/7/1955,66,Use of Force,-1,4,1,0,0,0,0
1301,17,2,1956,26,3,1956,17-2-1956,26-3-1956,40,Use of Force,0,4,1,0,0,0,0
1302,11,3,1958,26,8,1958,11/3/1958,26-8-1958,168,Use of Force,-1,4,1,0,0,0,0
1303,23,9,1960,-9,10,1960,23-9-1960,1/10/1960,9,Use of Force,0,4,0,0,0,0,0
1304,19,5,1961,3,9,1961,19-5-1961,3/9/1961,106,Use of Force,-1,4,2,0,0,0,0
1305,29,3,1955,4,5,1955,29-3-1955,4/5/1955,36,Display of Force,0,3,0,0,0,0,0
1306,17,6,1950,5,10,1950,17-6-1950,5/10/1950,111,Use of Force,-1,4,2,0,0,0,0
1307,-9,3,1949,-9,6,1949,1/3/1949,1/6/1949,91,Use of Force,0,4,0,0,0,0,0
1308,23,2,1950,13,6,1950,23-2-1950,13-6-1950,112,Use of Force,-1,4,1,0,0,0,0
1309,8,6,1961,19,7,1961,8/6/1961,19-7-1961,42,Threat to Use Force,0,2,0,0,0,0,0
1310,18,9,1962,4,11,1962,18-9-1962,4/11/1962,47,Use of Force,-1,4,1,0,0,0,0
1312,5,3,1965,23,9,1965,5/3/1965,23-9-1965,201,War,-1,5,6,0,0,0,0
1315,23,9,1965,25,1,1966,23-9-1965,25-1-1966,125,Use of Force,-1,4,2,0,0,0,0
1316,-9,8,1964,5,8,1965,1/8/1964,5/8/1965,369,Use of Force,-1,4,2,0,0,0,0
1317,-9,7,1963,-9,8,1963,1/7/1963,1/8/1963,31,Use of Force,0,4,0,0,0,0,0
1319,15,2,1965,17,3,1965,15-2-1965,17-3-1965,33,Use of Force,-1,4,-1,0,0,0,0
1321,5,7,1960,2,9,1960,5/7/1960,2/9/1960,58,Use of Force,-1,4,-1,0,0,0,0
1322,8,8,1966,17,9,1966,8/8/1966,17-9-1966,39,Use of Force,0,4,0,0,0,0,0
1323,1,1,1969,3,2,1969,1/1/1969,3/2/1969,30,Use of Force,0,4,0,0,0,0,0
1324,17,10,1966,17,10,1966,17-10-1966,17-10-1966,0,Threat to Use Force,0,2,0,0,0,0,0
1325,10,7,1969,16,6,1970,10/7/1969,16-6-1970,340,Use of Force,0,4,0,0,0,0,0
1326,9,6,1969,-9,7,1969,9/6/1969,1/7/1969,23,Use of Force,0,4,0,0,0,0,0
1328,-9,1,1965,-9,1,1965,1/1/1965,1/1/1965,0,Display of Force,0,3,0,0,0,0,0
1329,15,8,1963,15,8,1963,15-8-1963,15-8-1963,0,Threat to Use Force,0,2,0,0,0,0,0
1331,27,10,1975,27,10,1975,27-10-1975,27-10-1975,0,Display of Force,0,3,0,0,0,0,0
1332,1,11,1967,1,11,1967,1/11/1967,1/11/1967,0,Use of Force,-1,4,-1,0,0,0,0
